ticker_x,ticker_y,trade_date,adf_pass_rate,last_residual,beta,intercept,residual_mean_max,return_one_month,residual_one_month,return_two_month,residual_two_month,return_three_month,residual_three_month,data_window_start,subindustry
JJSF,UVV,2022-03-31,0.627,2.349,0.178,19.26,4.57,-0.013,2.59,-0.137,4.934,-0.069,3.647,2017-04-17,consumer_staples
KDP,NOMD,2022-03-31,0.824,-2.538,0.572,6.482,4.57,-0.075,-4.083,-0.002,-2.584,-0.032,-3.202,2017-04-17,consumer_staples
KDP,PRMW,2022-03-31,0.529,-2.619,0.43,1.318,4.57,0.026,-2.005,0.046,-1.523,0.003,-2.546,2017-04-17,consumer_staples
KHC,SFM,2022-03-31,0.706,2.227,0.56,4.461,4.57,0.058,0.938,0.075,0.57,0.108,-0.161,2017-04-17,consumer_staples
KHC,USNA,2022-03-31,0.667,-2.817,1.989,19.116,4.57,-0.049,-4.037,-0.024,-3.412,-0.019,-3.279,2017-04-17,consumer_staples
KR,PRMW,2022-03-31,0.549,-2.283,0.164,8.834,4.57,0.034,-1.833,0.042,-1.721,0.038,-1.775,2017-04-17,consumer_staples
MED,WMK,2022-03-31,0.706,2.993,0.101,31.333,4.57,-0.094,4.087,-0.031,3.357,-0.021,3.241,2017-04-17,consumer_staples
MNST,SJM,2022-03-31,0.784,2.329,0.658,62.54,4.57,0.02,1.89,0.082,0.493,0.069,0.774,2017-04-17,consumer_staples
MNST,WMT,2022-03-31,0.588,2.512,0.97,53.131,4.57,0.007,2.286,0.139,-1.799,0.179,-3.058,2017-04-17,consumer_staples
MO,PRMW,2022-03-31,1.0,-2.182,0.299,2.352,4.57,-0.024,-2.634,-0.018,-2.515,0.07,-0.878,2017-04-17,consumer_staples
MO,USNA,2022-03-31,0.529,-2.431,1.619,18.937,4.57,-0.047,-3.255,-0.068,-3.618,0.062,-1.335,2017-04-17,consumer_staples
NOMD,SJM,2022-03-31,0.667,2.767,2.707,49.122,4.57,-0.054,3.98,0.024,2.236,-0.016,3.121,2017-04-17,consumer_staples
NOMD,STZ,2022-03-31,0.529,2.053,5.988,57.828,4.57,-0.105,4.162,-0.07,3.461,-0.053,3.114,2017-04-17,consumer_staples
PM,TWNK,2022-03-31,0.843,3.211,0.181,0.679,4.57,0.017,2.737,0.08,0.979,0.043,2.001,2017-04-17,consumer_staples
POST,UVV,2022-03-31,0.882,2.681,0.779,-5.302,4.57,0.031,1.611,0.026,1.786,0.074,0.109,2017-04-17,consumer_staples
PPC,TSN,2022-03-31,0.667,2.513,1.838,28.257,4.57,0.032,1.793,0.118,-0.121,0.118,-0.137,2017-04-17,consumer_staples
PRMW,SFM,2022-03-31,0.706,2.834,0.901,9.763,4.57,0.042,2.271,0.118,1.256,0.128,1.121,2017-04-17,consumer_staples
PRMW,SPB,2022-03-31,0.745,2.434,7.759,-43.443,4.57,0.035,1.669,0.015,2.111,0.003,2.376,2017-04-17,consumer_staples
PRMW,STZ,2022-03-31,0.863,2.334,10.288,52.926,4.57,-0.031,3.197,-0.037,3.353,-0.03,3.177,2017-04-17,consumer_staples
PRMW,UVV,2022-03-31,0.569,2.363,1.419,26.211,4.57,0.009,2.217,-0.083,3.737,-0.056,3.298,2017-04-17,consumer_staples
SAFM,TWNK,2022-03-31,0.706,2.767,0.083,2.225,4.57,0.002,2.72,0.054,1.393,0.077,0.827,2017-04-17,consumer_staples
SJM,TWNK,2022-03-31,0.529,2.255,0.165,-3.911,4.57,-0.006,2.408,-0.015,2.665,-0.003,2.331,2017-04-17,consumer_staples
USFD,UVV,2022-03-31,1.0,2.209,0.57,27.536,4.57,0.008,2.046,-0.118,4.676,-0.09,4.088,2017-04-17,consumer_staples
USNA,UVV,2022-03-31,0.765,2.468,0.235,26.826,4.57,-0.003,2.517,-0.109,4.202,-0.06,3.415,2017-04-17,consumer_staples
ABCB,BANC,2022-03-31,0.961,2.295,0.31,2.974,4.87,0.028,1.524,0.029,1.505,0.014,1.915,2017-04-17,banks
ABCB,BNS,2022-03-31,0.588,3.587,0.951,14.332,4.87,0.059,2.001,0.039,2.526,0.083,1.342,2017-04-17,banks
ABCB,CNOB,2022-03-31,0.51,2.607,0.55,1.098,4.87,0.069,1.095,0.084,0.768,0.093,0.57,2017-04-17,banks
ABCB,CVBF,2022-03-31,0.922,2.864,0.138,13.851,4.87,-0.012,3.205,-0.048,4.198,-0.093,5.449,2017-04-17,banks
ABCB,FHN,2022-03-31,0.941,5.298,0.296,2.21,4.87,0.02,4.836,0.034,4.502,0.019,4.855,2017-04-17,banks
ABCB,KB,2022-03-31,0.843,2.178,0.695,11.39,4.87,0.03,1.448,0.011,1.919,0.123,-0.843,2017-04-17,banks
ABCB,KEY,2022-03-31,0.784,2.321,0.387,1.826,4.87,0.065,0.603,0.079,0.226,0.091,-0.081,2017-04-17,banks
