ticker_x,ticker_y,trade_date,adf_pass_rate,last_residual,beta,intercept,residual_mean_max,residual_quantile,betas_rsquared,arima_forecast,corr_smb,corr_hml,corr_rmw,corr_cma,corr_vix,corr_oil,corr_sp500,corr_usd,corr_yield,corr_copper,return_one_month,residual_one_month,return_two_month,residual_two_month,return_three_month,residual_three_month,data_window_start,subindustry
PFC,TCBK,2022-06-03,0.588,2.7,1.049,9.538,4.188,3.453,0.245,0.936,0.008,0.013,-0.029,0.047,-0.02,-0.015,0.023,-0.006,0.066,0.005,-0.037,3.757,-0.01,2.988,-0.021,3.305,2017-06-19,banks
PNFP,TD,2022-06-03,0.686,2.876,0.542,19.322,4.188,3.453,0.768,2.184,0.001,0.006,0.017,0.008,0.012,-0.01,-0.014,0.025,-0.008,-0.038,0.065,1.057,0.083,0.565,0.077,0.727,2017-06-19,banks
PPBI,RF,2022-06-03,0.549,2.764,0.522,0.031,4.188,3.453,0.183,1.97,-0.05,-0.074,-0.021,-0.011,-0.047,0.099,0.05,-0.031,0.015,0.018,0.049,1.649,0.034,1.995,0.006,2.617,2017-06-19,banks
RNST,SBCF,2022-06-03,0.51,2.633,0.938,-2.25,4.188,3.453,0.186,1.587,-0.055,0.025,0.048,-0.014,-0.139,0.048,0.073,0.004,0.097,0.05,-0.005,2.741,-0.002,2.677,0.059,1.3,2017-06-19,banks
RY,TBBK,2022-06-03,0.804,-2.873,0.438,-19.444,4.188,3.453,0.068,-1.305,-0.011,0.002,0.068,0.012,-0.012,0.036,0.018,-0.028,0.04,0.074,0.053,-1.226,0.105,0.415,0.122,0.935,2017-06-19,banks
SBSI,TFC,2022-06-03,0.98,-2.521,1.491,-0.172,4.188,3.453,0.175,-0.96,-0.001,0.007,0.035,0.017,0.006,-0.025,-0.029,0.027,-0.038,-0.042,0.015,-2.095,0.009,-2.269,0.004,-2.416,2017-06-19,banks
SIVB,SYBT,2022-06-03,0.549,3.603,0.054,23.356,4.188,3.453,0.572,0.688,-0.05,0.027,0.026,0.036,-0.022,-0.046,-0.055,0.017,-0.025,-0.064,-0.065,5.377,-0.119,6.833,-0.111,6.606,2017-06-19,banks
SMFG,SRCE,2022-06-03,0.549,3.037,8.299,-11.719,4.188,3.453,0.173,0.377,-0.001,0.009,0.013,0.002,0.008,-0.007,-0.01,0.021,-0.008,-0.027,0.006,2.846,0.003,2.938,0.001,3.002,2017-06-19,banks
SYBT,TBBK,2022-06-03,0.549,-3.149,0.731,-15.798,4.188,3.453,0.017,-0.761,-0.044,-0.026,0.029,-0.048,0.016,-0.039,0.002,-0.007,0.031,0.001,-0.023,-3.729,-0.013,-3.47,-0.007,-3.32,2017-06-19,banks
TCBK,TFC,2022-06-03,1.0,-2.983,1.313,0.983,4.188,3.453,0.663,-1.222,0.073,0.045,0.018,0.035,-0.061,0.069,0.131,-0.034,0.088,0.101,-0.028,-3.809,-0.008,-3.223,-0.044,-4.263,2017-06-19,banks
TCBK,WSFS,2022-06-03,0.51,-2.994,1.277,-5.586,4.188,3.453,0.081,-1.303,0.116,0.056,-0.042,-0.011,-0.072,0.038,0.047,-0.028,-0.01,0.012,-0.036,-4.137,0.039,-1.74,0.035,-1.888,2017-06-19,banks
TD,TFC,2022-06-03,0.882,-2.769,0.657,11.663,4.188,3.453,0.0,-1.425,-0.011,-0.053,-0.062,-0.08,-0.04,0.037,0.018,-0.014,0.055,0.04,0.066,-1.266,0.072,-1.116,0.041,-1.838,2017-06-19,banks
ADX,ICE,2022-06-03,0.961,-3.034,6.422,9.077,3.215,3.095,0.227,-0.419,0.031,0.033,-0.031,0.016,0.002,0.03,-0.017,0.002,0.009,0.008,0.003,-2.908,0.024,-1.972,0.02,-2.147,2017-06-19,diversified_financials
AMG,SLM,2022-06-03,0.745,2.856,0.12,-0.584,3.215,3.095,0.03,0.51,-0.073,-0.035,0.02,0.002,-0.024,-0.021,0.02,0.007,-0.069,-0.007,0.044,1.697,0.102,0.152,0.1,0.209,2017-06-19,diversified_financials
ARI,BGCP,2022-06-03,0.608,-3.058,0.348,0.154,3.215,3.095,0.252,-0.637,0.031,0.014,-0.001,-0.005,-0.153,0.048,0.103,0.054,0.105,0.011,0.158,-0.403,0.128,-0.907,0.185,0.039,2017-06-19,diversified_financials
BGCP,BXMT,2022-06-03,0.569,3.006,3.513,12.197,3.215,3.095,0.133,0.825,0.033,0.014,0.042,-0.005,0.015,0.003,-0.016,-0.001,-0.02,0.018,0.117,1.098,0.091,1.515,0.143,0.672,2017-06-19,diversified_financials
BLK,SNEX,2022-06-03,0.627,3.096,0.058,18.942,3.215,3.095,0.715,1.239,0.059,0.003,0.027,0.017,0.054,-0.056,-0.016,0.017,-0.06,0.011,-0.009,3.262,-0.087,4.676,-0.102,4.942,2017-06-19,diversified_financials
BLK,TROW,2022-06-03,0.627,-2.61,0.206,13.584,3.215,3.095,0.618,-1.326,-0.011,-0.087,-0.066,-0.053,-0.008,0.022,0.03,-0.042,0.016,0.044,0.013,-2.269,-0.018,-3.081,-0.015,-2.987,2017-06-19,diversified_financials
DB,UBS,2022-06-03,0.706,3.095,1.302,-0.015,3.215,3.095,0.033,1.891,-0.022,-0.014,-0.012,-0.024,0.007,-0.003,-0.01,-0.029,0.011,0.043,-0.019,3.514,-0.013,3.39,-0.006,3.225,2017-06-19,diversified_financials
LPLA,MORN,2022-06-03,0.608,-2.99,1.318,56.681,3.215,3.095,0.727,-1.099,0.015,-0.005,-0.053,0.035,0.004,0.018,-0.003,-0.001,0.041,0.002,0.055,-1.828,-0.048,-4.0,-0.096,-5.02,2017-06-19,diversified_financials
MSCI,SNEX,2022-06-03,0.51,2.856,0.075,25.93,3.215,3.095,0.472,0.958,0.013,0.035,-0.005,0.033,-0.042,0.019,0.004,0.064,0.017,-0.011,0.012,2.659,-0.066,3.928,-0.091,4.351,2017-06-19,diversified_financials
SII,SNEX,2022-06-03,0.686,2.55,1.139,18.424,3.215,3.095,0.307,0.432,-0.003,-0.012,0.002,-0.038,-0.034,0.002,0.065,-0.024,0.002,0.017,-0.034,3.188,-0.114,4.719,-0.112,4.669,2017-06-19,diversified_financials
ACH,GGB,2022-06-03,0.98,2.901,0.222,1.591,3.692,3.623,0.582,1.15,0.007,-0.009,-0.109,-0.06,-0.003,0.034,-0.008,-0.01,0.022,-0.003,0.207,0.44,0.13,1.359,0.122,1.455,2017-06-19,metals_and_mining
