ticker,subindustry,market_cap
GHSI,consumer_staples,12.7
GIGM,media_and_entertainment,18.5
GIPR,real_estate,15.8
GLAQ,diversified_financials,154.7
GLBL,diversified_financials,424.6
GLBS,transportation,50.2
GLBZ,banks,35.7
GLG,transportation,52.4
GLMD,pharmaceuticals_biotechnology_and_life_sciences,38.9
GLSI,pharmaceuticals_biotechnology_and_life_sciences,215.6
GMBL,consumer_services,25.4
GMGI,media_and_entertainment,147.6
GMVD,health_care_equipment_and_services,19.5
GNCA,pharmaceuticals_biotechnology_and_life_sciences,27.1
GNPX,pharmaceuticals_biotechnology_and_life_sciences,91.5
GNSS,technology_hardware_and_equipment,94.6
GNTA,pharmaceuticals_biotechnology_and_life_sciences,112.9
GNUS,consumer_durables_and_apparel,254.1
GOBI,diversified_financials,313.7
GOVX,pharmaceuticals_biotechnology_and_life_sciences,7.23
GP,capital_goods,166.6
GPAC,diversified_financials,369.4
GPCO,diversified_financials,75.2
GRCY,diversified_financials,55.1
GRIL,consumer_services,14.4
GROM,media_and_entertainment,16.6
GROW,diversified_financials,80.9
GRVI,consumer_staples,76.6
GRWG,retailing,465.0
GSAQ,diversified_financials,322.1
GSM,metals_and_mining,1614.8
GSMG,media_and_entertainment,62.0
GTBP,pharmaceuticals_biotechnology_and_life_sciences,80.1
GTEC,capital_goods,49.2
GTIM,consumer_services,45.6
GTYH,software_and_services,173.4
GVP,software_and_services,34.5
GWGH,diversified_financials,41.5
GYRO,real_estate,18.6
HAPP,consumer_staples,23.7
HBP,capital_goods,292.1
HCDI,consumer_durables_and_apparel,26.0
HCTI,health_care_equipment_and_services,41.3
HDSN,capital_goods,316.4
HEPA,pharmaceuticals_biotechnology_and_life_sciences,80.0
HERA,diversified_financials,1067.7
HEXO,pharmaceuticals_biotechnology_and_life_sciences,221.3
HFBL,banks,66.0
HFFG,consumer_staples,312.5
HGBL,diversified_financials,41.8
HGEN,pharmaceuticals_biotechnology_and_life_sciences,161.2
HHGC,diversified_financials,75.0
HIHO,capital_goods,10.1
HILS,pharmaceuticals_biotechnology_and_life_sciences,16.7
HITI,pharmaceuticals_biotechnology_and_life_sciences,240.8
HIVE,software_and_services,746.5
HLBZ,transportation,71.0
HNRG,energy,156.1
HOFV,consumer_services,106.0
HOTH,pharmaceuticals_biotechnology_and_life_sciences,21.1
HOUR,retailing,125.4
HQI,commercial_and_professional_services,255.6
