ticker_x,ticker_y,trade_date,adf_pass_rate,last_residual,beta,intercept,residual_mean_max,betas_rsquared,arima_forecast,return_one_month,residual_one_month,return_two_month,residual_two_month,return_three_month,residual_three_month,data_window_start,subindustry
MC,SCHW,2022-04-13,0.529,2.943,1.212,6.533,4.76,0.49972937,2.072744,0.106,1.042,0.104,1.075,0.119,0.804,2017-04-28,diversified_financials
MC,UBS,2022-04-13,0.647,2.8,0.201,5.175,4.76,0.8576778,1.4741516,-0.0,2.809,0.02,2.379,0.05,1.78,2017-04-28,diversified_financials
MS,TSLX,2022-04-13,0.588,3.082,0.144,7.598,4.76,0.14801666,0.7680826,0.048,1.513,0.083,0.381,0.1,-0.174,2017-04-28,diversified_financials
MUC,PRAA,2022-04-13,0.529,2.672,3.145,-4.443,4.76,0.07274365,1.1658325,0.072,1.261,0.091,0.896,0.086,0.995,2017-04-28,diversified_financials
MUC,QQQX,2022-04-13,0.706,4.722,2.857,-15.675,4.76,0.0012737623,1.9679883,0.036,3.34,0.038,3.259,0.05,2.798,2017-04-28,diversified_financials
MUC,QYLD,2022-04-13,0.667,5.098,1.365,-0.275,4.76,6.5095395e-05,2.9715664,0.05,2.886,0.065,2.229,0.066,2.201,2017-04-28,diversified_financials
MUC,TDIV,2022-04-13,0.51,4.295,6.482,-40.318,4.76,0.059054904,3.731754,0.011,3.958,0.017,3.761,0.042,2.994,2017-04-28,diversified_financials
MUC,VOYA,2022-04-13,0.706,2.949,4.897,-9.08,4.76,0.1969343,1.3329546,0.031,2.287,0.031,2.294,0.075,1.337,2017-04-28,diversified_financials
NAC,PFF,2022-04-13,0.569,3.149,2.503,0.772,4.76,0.033290148,0.3790061,0.005,2.827,0.014,2.144,0.016,2.026,2017-04-28,diversified_financials
NAD,QQQX,2022-04-13,0.51,4.259,2.939,-18.119,4.76,0.011177834,1.1243107,0.015,3.597,0.022,3.29,0.035,2.741,2017-04-28,diversified_financials
NAD,QYLD,2022-04-13,0.549,5.005,1.422,-1.701,4.76,0.009166578,1.9425792,0.033,3.3,0.051,2.363,0.053,2.263,2017-04-28,diversified_financials
NAD,VOYA,2022-04-13,0.667,2.802,5.236,-16.031,4.76,0.04965959,0.9892805,0.013,2.487,0.016,2.405,0.06,1.343,2017-04-28,diversified_financials
